gallery_order	fold_cluster	candidate_id	status	source_file	copied_file	n_matches_found
1	geotrupes_spiniger_2	diphucephala_sp_2	COPIED	/mnt/c/Users/Pichau/Desktop/Thais_C/Artigo2/resultado_final/resultado_final/01_intermediate/pdb/diphucephala_sp_2.pdb	/mnt/c/Users/Pichau/Desktop/Thais_C/Artigo2/resultado_final/resultado_final/04_results/fold_representative_structures/01_geotrupes_spiniger_2_diphucephala_sp_2.pdb	3
2	dastarcus_helophoroides_2	eophileurus_sp_1	COPIED	/mnt/c/Users/Pichau/Desktop/Thais_C/Artigo2/resultado_final/resultado_final/01_intermediate/pdb/eophileurus_sp_1.pdb	/mnt/c/Users/Pichau/Desktop/Thais_C/Artigo2/resultado_final/resultado_final/04_results/fold_representative_structures/02_dastarcus_helophoroides_2_eophileurus_sp_1.pdb	3
3	elateroides_flabellicornis_2	alurnus_ornatus_2	COPIED	/mnt/c/Users/Pichau/Desktop/Thais_C/Artigo2/resultado_final/resultado_final/01_intermediate/pdb/alurnus_ornatus_2.pdb	/mnt/c/Users/Pichau/Desktop/Thais_C/Artigo2/resultado_final/resultado_final/04_results/fold_representative_structures/03_elateroides_flabellicornis_2_alurnus_ornatus_2.pdb	3
4	dorcus_parallelipipedus_1	zophobas_atratus_1	COPIED	/mnt/c/Users/Pichau/Desktop/Thais_C/Artigo2/resultado_final/resultado_final/01_intermediate/pdb/zophobas_atratus_1.pdb	/mnt/c/Users/Pichau/Desktop/Thais_C/Artigo2/resultado_final/resultado_final/04_results/fold_representative_structures/04_dorcus_parallelipipedus_1_zophobas_atratus_1.pdb	2
5	sitophilus_zeamais_1	sitophilus_zeamais_1	COPIED	/mnt/c/Users/Pichau/Desktop/Thais_C/Artigo2/resultado_final/resultado_final/01_intermediate/pdb/sitophilus_zeamais_1.pdb	/mnt/c/Users/Pichau/Desktop/Thais_C/Artigo2/resultado_final/resultado_final/04_results/fold_representative_structures/05_sitophilus_zeamais_1_sitophilus_zeamais_1.pdb	2
6	elateroides_flabellicornis_1	elateroides_flabellicornis_1	COPIED	/mnt/c/Users/Pichau/Desktop/Thais_C/Artigo2/resultado_final/resultado_final/01_intermediate/pdb/elateroides_flabellicornis_1.pdb	/mnt/c/Users/Pichau/Desktop/Thais_C/Artigo2/resultado_final/resultado_final/04_results/fold_representative_structures/06_elateroides_flabellicornis_1_elateroides_flabellicornis_1.pdb	2
7	triodontella_sp_2	triodontella_sp_2	COPIED	/mnt/c/Users/Pichau/Desktop/Thais_C/Artigo2/resultado_final/resultado_final/01_intermediate/pdb/triodontella_sp_2.pdb	/mnt/c/Users/Pichau/Desktop/Thais_C/Artigo2/resultado_final/resultado_final/04_results/fold_representative_structures/07_triodontella_sp_2_triodontella_sp_2.pdb	2
8	diphucephala_sp_4	diphucephala_sp_4	COPIED	/mnt/c/Users/Pichau/Desktop/Thais_C/Artigo2/resultado_final/resultado_final/01_intermediate/pdb/diphucephala_sp_4.pdb	/mnt/c/Users/Pichau/Desktop/Thais_C/Artigo2/resultado_final/resultado_final/04_results/fold_representative_structures/08_diphucephala_sp_4_diphucephala_sp_4.pdb	2
9	dichotomius_satanas_6	dichotomius_satanas_7	COPIED	/mnt/c/Users/Pichau/Desktop/Thais_C/Artigo2/resultado_final/resultado_final/01_intermediate/pdb/dichotomius_satanas_7.pdb	/mnt/c/Users/Pichau/Desktop/Thais_C/Artigo2/resultado_final/resultado_final/04_results/fold_representative_structures/09_dichotomius_satanas_6_dichotomius_satanas_7.pdb	2
10	brassicogethes_aeneus_1	brassicogethes_aeneus_1	COPIED	/mnt/c/Users/Pichau/Desktop/Thais_C/Artigo2/resultado_final/resultado_final/01_intermediate/pdb/brassicogethes_aeneus_1.pdb	/mnt/c/Users/Pichau/Desktop/Thais_C/Artigo2/resultado_final/resultado_final/04_results/fold_representative_structures/10_brassicogethes_aeneus_1_brassicogethes_aeneus_1.pdb	2
11	maechidius_sp_1	brassicogethes_aeneus_2	COPIED	/mnt/c/Users/Pichau/Desktop/Thais_C/Artigo2/resultado_final/resultado_final/01_intermediate/pdb/brassicogethes_aeneus_2.pdb	/mnt/c/Users/Pichau/Desktop/Thais_C/Artigo2/resultado_final/resultado_final/04_results/fold_representative_structures/11_maechidius_sp_1_brassicogethes_aeneus_2.pdb	2
12	aphodius_scrutator_4	aphodius_scrutator_4	COPIED	/mnt/c/Users/Pichau/Desktop/Thais_C/Artigo2/resultado_final/resultado_final/01_intermediate/pdb/aphodius_scrutator_4.pdb	/mnt/c/Users/Pichau/Desktop/Thais_C/Artigo2/resultado_final/resultado_final/04_results/fold_representative_structures/12_aphodius_scrutator_4_aphodius_scrutator_4.pdb	2
